metric,score,domain_experts_assessment
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0.333333333,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,0
Contextual Relevancy,1,1
Contextual Relevancy,0.666666667,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0.666666667,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0.5,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0.666666667,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0,0
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0.333333333,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,1,1
Contextual Relevancy,0.5,1